EC:1.1.1.1	Alcohol dehydrogenase
EC:2.1.1.179	16S rRNA (guanine(1405)-N(7))-methyltransferase
EC:2.1.1.180	16S rRNA (adenine(1408)-N(1))-methyltransferase
EC:2.1.1.181	23S rRNA (adenine(1618)-N(6))-methyltransferase
EC:2.1.1.182	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
EC:2.1.1.183	18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase
EC:2.1.1.184	23S rRNA (adenine(2085)-N(6))-dimethyltransferase
EC:2.1.1.185	23S rRNA (guanosine(2251)-2'-O)-methyltransferase
EC:2.1.1.186	23S rRNA (cytidine(2498)-2'-O)-methyltransferase
EC:2.1.1.187	23S rRNA (guanine(745)-N(1))-methyltransferase
EC:2.1.1.188	23S rRNA (guanine(748)-N(1))-methyltransferase
EC:2.1.1.189	23S rRNA (uracil(747)-C(5))-methyltransferase
EC:2.1.1.190	23S rRNA (uracil(1939)-C(5))-methyltransferase
EC:2.1.1.191	23S rRNA (cytosine(1962)-C(5))-methyltransferase
EC:2.1.1.192	23S rRNA (adenine(2503)-C(2))-methyltransferase
EC:2.1.1.193	16S rRNA (uracil(1498)-N(3))-methyltransferase
EC:2.1.1.195	Cobalt-precorrin-5B (C(1))-methyltransferase
EC:2.1.1.196	Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating)
EC:2.1.1.197	Malonyl-[acyl-carrier protein] O-methyltransferase
EC:2.1.1.198	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
EC:2.1.1.199	16S rRNA (cytosine(1402)-N(4))-methyltransferase
EC:2.1.1.2	Guanidinoacetate N-methyltransferase
EC:2.1.1.20	Glycine N-methyltransferase
EC:2.1.1.200	tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase
EC:2.1.1.201	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
EC:2.1.1.202	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase
EC:2.1.1.203	tRNA (cytosine(34)-C(5))-methyltransferase
EC:2.1.1.204	tRNA (cytosine(38)-C(5))-methyltransferase
EC:2.1.1.205	tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase
EC:2.1.1.206	tRNA (cytidine(56)-2'-O)-methyltransferase
EC:2.1.1.207	tRNA (cytidine(34)-2'-O)-methyltransferase
EC:2.1.1.210	Demethylspheroidene O-methyltransferase
EC:2.1.1.211	tRNA(Ser) (uridine(44)-2'-O)-methyltransferase
EC:2.1.1.213	tRNA (guanine(10)-N(2))-dimethyltransferase
EC:2.1.1.214	tRNA (guanine(10)-N(2))-methyltransferase
EC:2.1.1.215	tRNA (guanine(26)-N(2)/guanine(27)-N(2))-dimethyltransferase
EC:2.1.1.216	tRNA (guanine(26)-N(2))-dimethyltransferase
EC:2.1.1.217	tRNA (adenine(22)-N(1))-methyltransferase
EC:2.1.1.218	tRNA (adenine(9)-N(1))-methyltransferase
EC:2.1.1.219	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase
EC:2.1.1.22	Carnosine N-methyltransferase
EC:2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase
EC:2.1.1.221	tRNA (guanine(9)-N(1))-methyltransferase
EC:2.1.1.222	2-polyprenyl-6-hydroxyphenol methylase
EC:2.1.1.223	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase
EC:2.1.1.224	23S rRNA (adenine(2503)-C(8))-methyltransferase
EC:2.1.1.225	tRNA:m(4)X modification enzyme
EC:2.1.1.226	23S rRNA (cytidine(1920)-2'-O)-methyltransferase
EC:2.1.1.227	16S rRNA (cytidine(1409)-2'-O)-methyltransferase
EC:2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase
EC:2.1.1.229	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase
EC:2.1.1.233	[Phosphatase 2A protein]-leucine-carboxy methyltransferase
EC:2.1.1.234	N,N-dimethyltransferase
EC:2.1.1.235	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase
EC:2.1.1.239	L-olivosyl-oleandolide 3-O-methyltransferase
EC:2.1.1.240	Trans-resveratrol di-O-methyltransferase
EC:2.1.1.242	16S rRNA (guanine(1516)-N(2))-methyltransferase
EC:2.1.1.243	2-ketoarginine methyltransferase
EC:2.1.1.244	Protein N-terminal methyltransferase
EC:2.1.1.245	Co-methyltransferase
EC:2.1.1.246	methyltransferase
EC:2.1.1.247	methyltransferase
EC:2.1.1.248	[Methylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.249	[Dimethylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.250	[Trimethylamine--corrinoid protein] Co-methyltransferase
EC:2.1.1.251	Methylated-thiol--coenzyme M methyltransferase
EC:2.1.1.254	Erythromycin 3''-O-methyltransferase
EC:2.1.1.255	Geranyl diphosphate 2-C-methyltransferase
EC:2.1.1.256	tRNA (guanine(6)-N(2))-methyltransferase
EC:2.1.1.257	tRNA (pseudouridine(54)-N(1))-methyltransferase
EC:2.1.1.258	Co-methyltransferase
EC:2.1.1.260	rRNA small subunit pseudouridine methyltransferase Nep1
EC:2.1.1.264	23S rRNA (guanine(2069)-N(7))-methyltransferase
EC:2.1.1.265	Tellurite methyltransferase
EC:2.1.1.266	23S rRNA (adenine(2030)-N(6))-methyltransferase
EC:2.1.1.267	Flavonoid 3',5'-methyltransferase
EC:2.1.1.268	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
EC:2.1.1.269	Dimethylsulfoniopropionate demethylase
EC:2.1.1.271	Cobalt-precorrin-4 methyltransferase
EC:2.1.1.276	Gibberellin A(4) carboxyl methyltransferase
EC:2.1.1.278	Indole-3-acetate O-methyltransferase
EC:2.1.1.28	Phenylethanolamine N-methyltransferase
EC:2.1.1.282	methyltransferase
EC:2.1.1.284	8-demethylnovobiocic acid C(8)-methyltransferase
EC:2.1.1.285	Demethyldecarbamoylnovobiocin O-methyltransferase
EC:2.1.1.287	25S rRNA (adenine(645)-N(1))-methyltransferase
EC:2.1.1.288	Aklanonic acid methyltransferase
EC:2.1.1.289	Cobalt-precorrin-7 (C(5))-methyltransferase
EC:2.1.1.290	tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase
EC:2.1.1.292	Carminomycin 4-O-methyltransferase
EC:2.1.1.294	3-phospho-methyltransferase
EC:2.1.1.295	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
EC:2.1.1.296	Methyltransferase cap2
EC:2.1.1.297	Peptide chain release factor N(5)-glutamine methyltransferase
EC:2.1.1.298	Ribosomal protein L3 N(5)-glutamine methyltransferase
EC:2.1.1.305	8-demethyl-8-alpha-L-rhamnosyl tetracenomycin-C 2'-O-methyltransferase
EC:2.1.1.306	methyltransferase
EC:2.1.1.307	methyltransferase
EC:2.1.1.309	18S rRNA (guanine(1575)-N(7))-methyltransferase
EC:2.1.1.313	25S rRNA (uracil(2634)-N(3))-methyltransferase
EC:2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase
EC:2.1.1.34	tRNA (guanosine(18)-2'-O)-methyltransferase
EC:2.1.1.35	tRNA (uracil(54)-C(5))-methyltransferase
EC:2.1.1.37	DNA (cytosine-5-)-methyltransferase
EC:2.1.1.4	Acetylserotonin O-methyltransferase
EC:2.1.1.41	Sterol 24-C-methyltransferase
EC:2.1.1.43	Histone-lysine N-methyltransferase
EC:2.1.1.44	L-histidine N(alpha)-methyltransferase
EC:2.1.1.45	Thymidylate synthase
EC:2.1.1.49	Amine N-methyltransferase
EC:2.1.1.5	Betaine--homocysteine S-methyltransferase
EC:2.1.1.56	 ;  Q06996, L_SENDF    ;  O55528, L_SENDO    
EC:2.1.1.57	Methyltransferase cap1
EC:2.1.1.6	Catechol O-methyltransferase
EC:2.1.1.60	Calmodulin-lysine N-methyltransferase
EC:2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
EC:2.1.1.62	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase
EC:2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase
EC:2.1.1.64	3-demethylubiquinol 3-O-methyltransferase
EC:2.1.1.67	Thiopurine S-methyltransferase
EC:2.1.1.68	Caffeate O-methyltransferase
EC:2.1.1.71	Phosphatidyl-N-methylethanolamine N-methyltransferase
EC:2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)
EC:2.1.1.74	(FADH(2)-oxidizing)
EC:2.1.1.76	Quercetin 3-O-methyltransferase
EC:2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase
EC:2.1.1.79	Cyclopropane-fatty-acyl-phospholipid synthase
EC:2.1.1.80	Protein-glutamate O-methyltransferase
EC:2.1.1.86	Tetrahydromethanopterin S-methyltransferase
EC:2.1.1.90	Methanol--corrinoid protein Co-methyltransferase
EC:2.1.1.95	Tocopherol O-methyltransferase
EC:2.1.1.96	Thioether S-methyltransferase
EC:2.1.1.98	Diphthine synthase
EC:2.1.2.1	Glycine hydroxymethyltransferase
EC:2.1.2.10	Aminomethyltransferase
EC:2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
EC:2.1.2.13	UDP-4-amino-4-deoxy-L-arabinose formyltransferase
EC:2.1.2.2	Phosphoribosylglycinamide formyltransferase
EC:2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase
EC:2.1.2.5	Glutamate formimidoyltransferase
EC:2.1.2.9	Methionyl-tRNA formyltransferase
EC:2.1.3.1	Methylmalonyl-CoA carboxytransferase
EC:2.1.3.11	N-succinylornithine carbamoyltransferase
EC:2.1.3.12	Decarbamoylnovobiocin carbamoyltransferase
EC:2.1.3.2	Aspartate carbamoyltransferase
EC:2.1.3.3	Ornithine carbamoyltransferase
EC:2.1.3.6	Putrescine carbamoyltransferase
EC:2.1.3.7	3-hydroxymethylcephem carbamoyltransferase
EC:2.1.3.9	N-acetylornithine carbamoyltransferase
EC:2.1.4.1	Glycine amidinotransferase
EC:2.1.4.2	Scyllo-inosamine-4-phosphate amidinotransferase
EC:2.10.1.1	Molybdopterin molybdotransferase
EC:2.2.1.1	Transketolase
EC:2.2.1.10	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
EC:2.2.1.11	6-deoxy-5-ketofructose 1-phosphate synthase
EC:2.2.1.2	Transaldolase
EC:2.2.1.6	Acetolactate synthase
EC:2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
EC:2.2.1.8	Fluorothreonine transaldolase
EC:2.2.1.9	synthase
EC:2.3.1.1	Amino-acid N-acetyltransferase
EC:2.3.1.101	Formylmethanofuran--tetrahydromethanopterin N-formyltransferase
EC:2.3.1.102	N(6)-hydroxylysine O-acetyltransferase
EC:2.3.1.108	Alpha-tubulin N-acetyltransferase
EC:2.3.1.109	Arginine N-succinyltransferase
EC:2.3.1.111	Mycocerosate synthase
EC:2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
EC:2.3.1.118	N-hydroxyarylamine O-acetyltransferase
EC:2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase
EC:2.3.1.122	Trehalose O-mycolyltransferase
EC:2.3.1.128	Ribosomal-protein-alanine N-acetyltransferase
EC:2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EC:2.3.1.133	Shikimate O-hydroxycinnamoyltransferase
EC:2.3.1.137	Carnitine O-octanoyltransferase
EC:2.3.1.15	Glycerol-3-phosphate 1-O-acyltransferase
EC:2.3.1.157	Glucosamine-1-phosphate N-acetyltransferase
EC:2.3.1.158	Phospholipid:diacylglycerol acyltransferase
EC:2.3.1.159	Acridone synthase
EC:2.3.1.16	Acetyl-CoA C-acyltransferase
EC:2.3.1.164	Isopenicillin-N N-acyltransferase
EC:2.3.1.165	6-methylsalicylic acid synthase
EC:2.3.1.168	Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
EC:2.3.1.169	CO-methylating acetyl-CoA synthase
EC:2.3.1.174	3-oxoadipyl-CoA thiolase
EC:2.3.1.176	Propanoyl-CoA C-acyltransferase
EC:2.3.1.178	Diaminobutyrate acetyltransferase
EC:2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II
EC:2.3.1.18	Galactoside O-acetyltransferase
EC:2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III
EC:2.3.1.181	Lipoyl(octanoyl) transferase
EC:2.3.1.182	(R)-citramalate synthase
EC:2.3.1.183	Phosphinothricin acetyltransferase
EC:2.3.1.184	Acyl-homoserine-lactone synthase
EC:2.3.1.187	Acetyl-S-ACP:malonate ACP transferase
EC:2.3.1.188	Omega-hydroxypalmitate O-feruloyl transferase
EC:2.3.1.189	Mycothiol synthase
EC:2.3.1.19	Phosphate butyryltransferase
EC:2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EC:2.3.1.193	tRNA(Met) cytidine acetyltransferase
EC:2.3.1.199	Very-long-chain 3-oxoacyl-CoA synthase
EC:2.3.1.20	Diacylglycerol O-acyltransferase
EC:2.3.1.200	Lipoyl amidotransferase
EC:2.3.1.201	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase
EC:2.3.1.202	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
EC:2.3.1.203	UDP-N-acetylbacillosamine N-acetyltransferase
EC:2.3.1.204	Octanoyl-[GcvH]:protein N-octanoyltransferase
EC:2.3.1.207	Beta-ketodecanoyl-[acyl-carrier-protein] synthase
EC:2.3.1.21	Carnitine O-palmitoyltransferase
EC:2.3.1.210	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase
EC:2.3.1.22	2-acylglycerol O-acyltransferase
EC:2.3.1.222	Phosphate propanoyltransferase
EC:2.3.1.223	3-oxo-5,6-didehydrosuberyl-CoA thiolase
EC:2.3.1.225	Protein S-acyltransferase
EC:2.3.1.226	Carboxymethylproline synthase
EC:2.3.1.227	GDP-perosamine N-acetyltransferase
EC:2.3.1.228	Isovaleryl-homoserine lactone synthase
EC:2.3.1.229	4-coumaroyl-homoserine lactone synthase
EC:2.3.1.23	1-acylglycerophosphocholine O-acyltransferase
EC:2.3.1.230	2-heptyl-4(1H)-quinolone synthase
EC:2.3.1.231	methoxycarbonyltransferase
EC:2.3.1.233	1,3,6,8-tetrahydroxynaphthalene synthase
EC:2.3.1.234	N(6)-L-threonylcarbamoyladenine synthase
EC:2.3.1.235	Tetracenomycin F2 synthase
EC:2.3.1.239	10-deoxymethynolide syntase
EC:2.3.1.24	Sphingosine N-acyltransferase
EC:2.3.1.240	Narbonolide synthase
EC:2.3.1.241	Kdo(2)-lipid IV(A) lauroyltransferase
EC:2.3.1.242	Kdo(2)-lipid IV(A) palmitoleoyltransferase
EC:2.3.1.243	Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
EC:2.3.1.26	Sterol O-acyltransferase
EC:2.3.1.28	Chloramphenicol O-acetyltransferase
EC:2.3.1.29	Glycine C-acetyltransferase
EC:2.3.1.30	Serine O-acetyltransferase
EC:2.3.1.31	Homoserine O-acetyltransferase
EC:2.3.1.35	Glutamate N-acetyltransferase
EC:2.3.1.36	D-amino-acid N-acetyltransferase
EC:2.3.1.37	5-aminolevulinate synthase
EC:2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase
EC:2.3.1.4	Glucosamine-phosphate N-acetyltransferase
EC:2.3.1.40	Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase
EC:2.3.1.41	Beta-ketoacyl-[acyl-carrier-protein] synthase I
EC:2.3.1.42	Glycerone-phosphate O-acyltransferase
EC:2.3.1.43	Phosphatidylcholine--sterol O-acyltransferase
EC:2.3.1.46	Homoserine O-succinyltransferase
EC:2.3.1.47	8-amino-7-oxononanoate synthase
EC:2.3.1.48	Histone acetyltransferase
EC:2.3.1.5	Arylamine N-acetyltransferase
EC:2.3.1.50	Serine C-palmitoyltransferase
EC:2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
EC:2.3.1.54	Formate C-acetyltransferase
EC:2.3.1.57	Diamine N-acetyltransferase
EC:2.3.1.59	Gentamicin 2'-N-acetyltransferase
EC:2.3.1.6	Choline O-acetyltransferase
EC:2.3.1.60	Gentamicin 3'-N-acetyltransferase
EC:2.3.1.61	Dihydrolipoyllysine-residue succinyltransferase
EC:2.3.1.65	Bile acid-CoA:amino acid N-acyltransferase
EC:2.3.1.67	1-alkylglycerophosphocholine O-acetyltransferase
EC:2.3.1.7	Carnitine O-acetyltransferase
EC:2.3.1.74	Naringenin-chalcone synthase
EC:2.3.1.75	Long-chain-alcohol O-fatty-acyltransferase
EC:2.3.1.76	Retinol O-fatty-acyltransferase
EC:2.3.1.78	Heparan-alpha-glucosaminide N-acetyltransferase
EC:2.3.1.79	Maltose O-acetyltransferase
EC:2.3.1.8	Phosphate acetyltransferase
EC:2.3.1.81	Aminoglycoside N(3')-acetyltransferase
EC:2.3.1.82	Aminoglycoside 6'-N-acetyltransferase
EC:2.3.1.85	Fatty-acid synthase
EC:2.3.1.86	Fatty-acyl-CoA synthase
EC:2.3.1.87	Aralkylamine N-acetyltransferase
EC:2.3.1.88	Peptide alpha-N-acetyltransferase
EC:2.3.1.89	Tetrahydrodipicolinate N-acetyltransferase
EC:2.3.1.9	Acetyl-CoA C-acetyltransferase
EC:2.3.1.94	6-deoxyerythronolide-B synthase
EC:2.3.1.95	Trihydroxystilbene synthase
EC:2.3.1.97	Glycylpeptide N-tetradecanoyltransferase
EC:2.3.2.10	UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase
EC:2.3.2.13	Protein-glutamine gamma-glutamyltransferase
EC:2.3.2.15	Glutathione gamma-glutamylcysteinyltransferase
EC:2.3.2.16	Lipid II:glycine glycyltransferase
EC:2.3.2.17	glycyltransferase
EC:2.3.2.18	glycyltransferase
EC:2.3.2.19	transferase
EC:2.3.2.2	Gamma-glutamyltransferase
EC:2.3.2.21	Cyclo(L-tyrosyl-L-tyrosyl) synthase
EC:2.3.2.22	Cyclo(L-leucyl-L-leucyl) synthase
EC:2.3.2.23	E2 ubiquitin-conjugating enzyme
EC:2.3.2.24	(E3-independent) E2 ubiquitin-conjugating enzyme
EC:2.3.2.25	N-terminal E2 ubiquitin-conjugating enzyme
EC:2.3.2.26	HECT-type E3 ubiquitin transferase
EC:2.3.2.27	RING-type E3 ubiquitin transferase
EC:2.3.2.28	L-allo-isoleucyltransferase
EC:2.3.2.3	Lysyltransferase
EC:2.3.2.4	Gamma-glutamylcyclotransferase
EC:2.3.2.5	Glutaminyl-peptide cyclotransferase
EC:2.3.2.6	Leucyltransferase
EC:2.3.2.8	Arginyltransferase
EC:2.3.3.1	Citrate (Si)-synthase
EC:2.3.3.10	Hydroxymethylglutaryl-CoA synthase
EC:2.3.3.13	2-isopropylmalate synthase
EC:2.3.3.14	Homocitrate synthase
EC:2.3.3.15	Sulfoacetaldehyde acetyltransferase
EC:2.3.3.5	2-methylcitrate synthase
EC:2.3.3.8	ATP citrate synthase
EC:2.3.3.9	Malate synthase
EC:2.4.1.1	Glycogen phosphorylase
EC:2.4.1.10	Levansucrase
EC:2.4.1.101	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
EC:2.4.1.109	Dolichyl-phosphate-mannose--protein mannosyltransferase
EC:2.4.1.11	Glycogen(starch) synthase
EC:2.4.1.111	Coniferyl-alcohol glucosyltransferase
EC:2.4.1.115	Anthocyanidin 3-O-glucosyltransferase
EC:2.4.1.117	Dolichyl-phosphate beta-glucosyltransferase
EC:2.4.1.12	Cellulose synthase (UDP-forming)
EC:2.4.1.121	Indole-3-acetate beta-glucosyltransferase
EC:2.4.1.122	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase
EC:2.4.1.123	Inositol 3-alpha-galactosyltransferase
EC:2.4.1.129	Peptidoglycan glycosyltransferase
EC:2.4.1.13	Sucrose synthase
EC:2.4.1.131	GDP-Man:Man(3)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
EC:2.4.1.132	GDP-Man:Man(1)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
EC:2.4.1.133	Xylosylprotein 4-beta-galactosyltransferase
EC:2.4.1.134	Galactosylxylosylprotein 3-beta-galactosyltransferase
EC:2.4.1.135	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase
EC:2.4.1.14	Sucrose-phosphate synthase
EC:2.4.1.141	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase
EC:2.4.1.142	Chitobiosyldiphosphodolichol beta-mannosyltransferase
EC:2.4.1.143	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
EC:2.4.1.144	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
EC:2.4.1.145	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
EC:2.4.1.149	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase
EC:2.4.1.15	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)
EC:2.4.1.16	Chitin synthase
EC:2.4.1.161	Oligosaccharide 4-alpha-D-glucosyltransferase
EC:2.4.1.166	Raffinose--raffinose alpha-galactosyltransferase
EC:2.4.1.17	Glucuronosyltransferase
EC:2.4.1.173	Sterol 3-beta-glucosyltransferase
EC:2.4.1.174	acetylgalactosaminyltransferase
EC:2.4.1.175	acetylgalactosaminyltransferase
EC:2.4.1.18	1,4-alpha-glucan branching enzyme
EC:2.4.1.180	Lipopolysaccharide N-acetylmannosaminouronosyltransferase
EC:2.4.1.182	Lipid-A-disaccharide synthase
EC:2.4.1.183	Alpha-1,3-glucan synthase
EC:2.4.1.186	Glycogenin glucosyltransferase
EC:2.4.1.187	mannosaminyltransferase
EC:2.4.1.19	Cyclomaltodextrin glucanotransferase
EC:2.4.1.195	N-hydroxythioamide S-beta-glucosyltransferase
EC:2.4.1.198	Phosphatidylinositol N-acetylglucosaminyltransferase
EC:2.4.1.20	Cellobiose phosphorylase
EC:2.4.1.207	Xyloglucan:xyloglucosyl transferase
EC:2.4.1.208	Diglucosyl diacylglycerol synthase (1,2-linking)
EC:2.4.1.21	Starch synthase
EC:2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
EC:2.4.1.212	Hyaluronan synthase
EC:2.4.1.213	Glucosylglycerol-phosphate synthase
EC:2.4.1.214	Glycoprotein 3-alpha-L-fucosyltransferase
EC:2.4.1.215	Cis-zeatin O-beta-D-glucosyltransferase
EC:2.4.1.216	Trehalose 6-phosphate phosphorylase
EC:2.4.1.217	Mannosyl-3-phosphoglycerate synthase
EC:2.4.1.218	Hydroquinone glucosyltransferase
EC:2.4.1.22	Lactose synthase
EC:2.4.1.221	Peptide-O-fucosyltransferase
EC:2.4.1.222	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
EC:2.4.1.223	acetylglucosaminyltransferase
EC:2.4.1.224	acetylglucosaminyltransferase
EC:2.4.1.225	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase
EC:2.4.1.226	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase
EC:2.4.1.227	acetylglucosaminyltransferase
EC:2.4.1.228	Lactosylceramide 4-alpha-galactosyltransferase
EC:2.4.1.229	[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase
EC:2.4.1.230	Kojibiose phosphorylase
EC:2.4.1.232	Initiation-specific alpha-1,6-mannosyltransferase
EC:2.4.1.236	Flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase
EC:2.4.1.241	Digalactosyldiacylglycerol synthase
EC:2.4.1.242	NDP-glucose--starch glucosyltransferase
EC:2.4.1.245	Alpha,alpha-trehalose synthase
EC:2.4.1.246	Mannosylfructose-phosphate synthase
EC:2.4.1.247	Beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase
EC:2.4.1.25	4-alpha-glucanotransferase
EC:2.4.1.250	D-inositol-3-phosphate glycosyltransferase
EC:2.4.1.251	diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase
EC:2.4.1.252	GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
EC:2.4.1.254	Cyanidin-3-O-glucoside 2''-O-glucuronosyltransferase
EC:2.4.1.255	Protein O-GlcNAc transferase
EC:2.4.1.256	glucosyltransferase
EC:2.4.1.257	GDP-Man:Man(2)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
EC:2.4.1.258	Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
EC:2.4.1.259	Dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
EC:2.4.1.260	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
EC:2.4.1.261	Dolichyl-P-Man:Man(8)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
EC:2.4.1.263	Abscisate beta-glucosyltransferase
EC:2.4.1.264	2-beta-glucuronyltransferase
EC:2.4.1.265	glucosyltransferase
EC:2.4.1.266	Glucosyl-3-phosphoglycerate synthase
EC:2.4.1.267	Dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
EC:2.4.1.269	Mannosylglycerate synthase
EC:2.4.1.276	Zeaxanthin glucosyltransferase
EC:2.4.1.277	10-deoxymethynolide desosaminyltransferase
EC:2.4.1.278	3-alpha-mycarosylerythronolide B desosaminyl transferase
EC:2.4.1.279	Nigerose phosphorylase
EC:2.4.1.280	N,N'-diacetylchitobiose phosphorylase
EC:2.4.1.281	4-O-beta-D-mannosyl-D-glucose phosphorylase
EC:2.4.1.282	3-O-alpha-D-glucosyl-L-rhamnose phosphorylase
EC:2.4.1.283	2-deoxystreptamine N-acetyl-D-glucosaminyltransferase
EC:2.4.1.284	2-deoxystreptamine glucosyltransferase
EC:2.4.1.285	UDP-GlcNAc:ribostamycin N-acetylglucosaminyltransferase
EC:2.4.1.287	galactofuranosyltransferase
EC:2.4.1.288	decaprenol beta-1,5/1,6-galactofuranosyltransferase
EC:2.4.1.289	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
EC:2.4.1.290	acetylgalactosaminyltransferase
EC:2.4.1.291	4-alpha-N-acetylgalactosaminyltransferase
EC:2.4.1.292	1,4-N-acetyl-D-galactosaminyltransferase
EC:2.4.1.293	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
EC:2.4.1.298	Anthocyanidin 3-O-glucoside 5-O-glucosyltransferase
EC:2.4.1.302	L-demethylnoviosyl transferase
EC:2.4.1.303	galactosyltransferase
EC:2.4.1.310	Vancomycin aglycone glucosyltransferase
EC:2.4.1.311	dTDP-epi-vancosaminyltransferase
EC:2.4.1.312	Protein O-mannose beta-1,4-N-acetylglucosaminyltransferase
EC:2.4.1.315	Diglucosyl diacylglycerol synthase (1,6-linking)
EC:2.4.1.316	Tylactone mycaminosyltransferase
EC:2.4.1.317	O-mycaminosyltylonolide 6-deoxyallosyltransferase
EC:2.4.1.318	Demethyllactenocin mycarosyltransferase
EC:2.4.1.319	Beta-1,4-mannooligosaccharide phosphorylase
EC:2.4.1.32	Glucomannan 4-beta-mannosyltransferase
EC:2.4.1.320	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase
EC:2.4.1.321	Cellobionic acid phosphorylase
EC:2.4.1.322	Desvancosaminyl-vancomycin vancosaminetransferase
