12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis
PWY-5807	heptaprenyl diphosphate biosynthesis
PWY-5808	hyperforin and adhyperforin biosynthesis
PWY-5811	indole-3-acetate degradation VII
PWY-5813	bornyl diphosphate biosynthesis
PWY-5815	rubber biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis
PWY-5817	dodecaprenyl diphosphate biosynthesis
PWY-5818	validamycin A biosynthesis
PWY-581	indole-3-acetate biosynthesis II
PWY-5821	dalcochinin biosynthesis
PWY-5822	trichloroethylene degradation
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis
PWY-5825	dalpatein and dalnigrein biosynthesis
PWY-5826	hypoglycin biosynthesis
PWY-5827	heliocides biosynthesis
PWY-5828	lacinilene C biosynthesis
PWY-5829	geraniol and geranial biosynthesis
PWY-5830	CDP-ascarylose biosynthesis
PWY-5831	CDP-abequose biosynthesis
PWY-5832	CDP-paratose biosynthesis
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis
PWY-5834	CDP-tyvelose biosynthesis
PWY-5835	geranyl acetate biosynthesis
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I
PWY-5838	superpathway of menaquinol-8 biosynthesis I
PWY-5839	menaquinol-7 biosynthesis
PWY-5840	superpathway of menaquinol-7 biosynthesis
PWY-5843	cocaine biosynthesis
PWY-5844	menaquinol-9 biosynthesis
PWY-5845	superpathway of menaquinol-9 biosynthesis
PWY-5846	colchicine biosynthesis
PWY-5848	cinchona alkaloids biosynthesis
PWY-5849	menaquinol-6 biosynthesis
PWY-5850	superpathway of menaquinol-6 biosynthesis I
PWY-5851	demethylmenaquinol-9 biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-5853	demethylmenaquinol-6 biosynthesis I
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5859	eugenol and isoeugenol biosynthesis
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis
PWY-5864	superpathway of plastoquinol biosynthesis
PWY-5867	t-anethole biosynthesis
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)
PWY-5874	heme degradation
PWY-5875	staphyloxanthin biosynthesis
PWY-5876	magnoflorine biosynthesis
PWY-5877	beta-carboline biosynthesis
PWY-5882	epoxypseudoisoeugenol-2-methylbutanoate biosynthesis
PWY-5883	ephedrine biosynthesis
PWY-5884	wax esters biosynthesis I
PWY-5885	wax esters biosynthesis II
PWY-5886	4-hydroxyphenylpyruvate biosynthesis
PWY-5887	albaflavenone biosynthesis
PWY-5888	rhodoquinone-10 biosynthesis
PWY-5889	rhodoquinone-9 biosynthesis
PWY-5890	menaquinol-10 biosynthesis
PWY-5891	menaquinol-11 biosynthesis
PWY-5892	menaquinol-12 biosynthesis
PWY-5893	tridecaprenyl diphosphate biosynthesis
PWY-5895	menaquinol-13 biosynthesis
PWY-5896	superpathway of menaquinol-10 biosynthesis
PWY-5897	superpathway of menaquinol-11 biosynthesis
PWY-5898	superpathway of menaquinol-12 biosynthesis
PWY-5899	superpathway of menaquinol-13 biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-5903	bacillibactin biosynthesis
PWY-5905	hypusine biosynthesis
PWY-5907	homospermidine biosynthesis
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-5913	TCA cycle VI (obligate autotrophs)
PWY-5915	phycoerythrobilin biosynthesis I
PWY-5917	phycocyanobilin biosynthesis
PWY-5918	superpathay of heme biosynthesis from glutamate
PWY-5920	superpathway of heme biosynthesis from glycine
PWY-5921	glutaminyl-tRNAgln biosynthesis via transamidation
PWY-5922	(4R)-carveol and (4R)-dihydrocarveol degradation
PWY-5923	limonene degradation I (D-limonene)
PWY-5924	limonene degradation II (L-limonene)
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-5926	afrormosin conjugates interconversion
PWY-5927	(4S)-carveol and (4S)-dihydrocarveol degradation
PWY-5928	(4R)-carvone biosynthesis
PWY-5929	puromycin biosynthesis
PWY-5930	terpentecin biosynthesis
PWY-5934	iron reduction and absorption
PWY-5935	tuberculosinol biosynthesis
PWY-5936	xyloglucan biosynthesis
PWY-5938	(R)-acetoin biosynthesis I
PWY-5939	(R)-acetoin biosynthesis II
PWY-5940	streptomycin biosynthesis
PWY-5941	glycogen degradation II (eukaryotic)
PWY-5942	trans-lycopene biosynthesis I (bacteria)
PWY-5943	&beta;-carotene biosynthesis
PWY-5944	zeaxanthin biosynthesis
PWY-5945	zeaxanthin, antheraxanthin and violaxanthin interconversion
PWY-5946	&delta;-carotene biosynthesis
PWY-5947	lutein biosynthesis
PWY-5950	geosmin biosynthesis
PWY-5951	(R,R)-butanediol biosynthesis
PWY-5954	(1'S,5'S)-averufin biosynthesis
PWY-5955	versicolorin B biosynthesis
PWY-5956	sterigmatocystin biosynthesis
PWY-5957	L-nicotianamine biosynthesis
PWY-5958	acridone alkaloid biosynthesis
PWY-5959	aflatoxins B1 and G1 biosynthesis
PWY-5960	aflatoxins B2 and G2 biosynthesis
PWY-5961	superpathway of aflatoxin biosynthesis
PWY-5963	thio-molybdenum cofactor biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis
PWY-5965	fatty acid biosynthesis initiation III
PWY-5966	fatty acid biosynthesis initiation II
PWY-5967	lupinate biosynthesis
PWY-5968	cinnamate esters biosynthesis
PWY-5970	fatty acids biosynthesis (yeast)
PWY-5971	palmitate biosynthesis II (bacteria and plants)
PWY-5972	stearate biosynthesis I (animals and fungi)
PWY-5973	cis-vaccenate biosynthesis
PWY-5975	furaneol biosynthesis
PWY-5976	dhurrin degradation
PWY-5978	kanosamine biosynthesis I
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis
PWY-5980	xylogalacturonan biosynthesis
PWY-5981	CDP-diacylglycerol biosynthesis III
PWY-5982	sulfoacetaldehyde degradation II
PWY-5983	trehalose biosynthesis VI
PWY-5984	rifamycin B biosynthesis
PWY-5985	trehalose biosynthesis VII
PWY-5987	sorgoleone biosynthesis
PWY-5989	stearate biosynthesis II (bacteria and plants)
PWY-5990	lotaustralin biosynthesis
PWY-5991	superpathway of linamarin and lotaustralin biosynthesis
PWY-5992	thalianol and derivatives biosynthesis
PWY-5993	superpathway of rifamycin B biosynthesis
PWY-5994	palmitate biosynthesis I (animals and fungi)
PWY-5995	linoleate biosynthesis I (plants)
PWY-5996	oleate biosynthesis II (animals and fungi)
PWY-5997	&alpha;-linolenate biosynthesis I (plants and red algae)
PWY-5998	&gamma;-linolenate biosynthesis I (plants)
PWY-5	canavanine biosynthesis
PWY5F9-12	biphenyl degradation
PWY5F9-3233	phthalate degradation
PWY-6000	&gamma;-linolenate biosynthesis II (animals)
PWY-6001	linoleate biosynthesis II (animals)
PWY-6002	lotaustralin degradation
PWY-6003	gramicidin S biosynthesis
PWY-6004	glycine betaine biosynthesis V (from glycine)
PWY-6005	marneral biosynthesis
PWY-6007	arabidiol biosynthesis
PWY-6008	baruol biosynthesis
PWY-6010	apigenin glycosides biosynthesis
PWY-6011	amygdalin and prunasin degradation
PWY-6012-1	acyl carrier protein metabolism II (mammalian)
PWY-6012	acyl carrier protein metabolism I
PWY-6013	crepenynate biosynthesis
PWY-6014	vernolate biosynthesis I
PWY-6015	vitexin and derivatives biosynthesis
PWY-6019	pseudouridine degradation
PWY-601	glucosinolate biosynthesis from tryptophan
PWY-6021	nitrilotriacetate degradation
PWY-6024	isovitexin and isovitexin glycosides biosynthesis
PWY-6027	capsiconiate biosynthesis
PWY-6028	acetoin degradation
PWY-6029	2,3-trans-flavanols biosynthesis
PWY-6030	serotonin and melatonin biosynthesis
PWY-6032	cardenolide biosynthesis
PWY-6035	2,3-cis-flavanols biosynthesis
PWY-6036	cardenolide glucosides biosynthesis
PWY-6038	citrate degradation
PWY-6039	chlorogenic acid biosynthesis I
PWY-6040	chlorogenic acid biosynthesis II
PWY-6041	4-sulfocatechol degradation
PWY-6043	ethanedisulfonate degradation
PWY-6044	methanesulfonate degradation
PWY-6045	methylthiopropanonate degradation II (demethylation)
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-6047	dimethyl sulfide degradation I
PWY-6048	methylthiopropanoate degradation I (cleavage)
PWY-6049	superpathway of dimethylsulfoniopropanoate degradation
PWY-6050	dimethyl sulfoxide degradation
PWY-6051	2,4,6-trinitrotoluene degradation
PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation)
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)
PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage)
PWY-6057	dimethyl sulfide degradation III (oxidation)
PWY-6058	dimethyl sulfone degradation
PWY-6059	dimethyl sulfide degradation II (oxidation)
PWY-6060	malonate degradation II (biotin-dependent)
PWY-6061	bile acid biosynthesis, neutral pathway
PWY-6064	methylquercetin biosynthesis
PWY-6068	indican biosynthesis
PWY-6069	indigo biosynthesis
PWY-6071	superpathway of phenylethylamine degradation
PWY-6072	superpathway of dimethylsulfone degradation
PWY-6073	alginate biosynthesis I (algal)
PWY-6074	zymosterol biosynthesis
PWY-6075	ergosterol biosynthesis I
PWY-6076	vitamin D3 biosynthesis
PWY-6077	anthranilate degradation II (aerobic)
PWY-6079	anthranilate degradation I (aerobic)
PWY-6080	4-ethylphenol degradation (anaerobic)
PWY-6081	1,3-dichlorobenzene degradation
PWY-6082	alginate biosynthesis II (bacterial)
PWY-6083	chlorobenzene degradation
PWY-6084	3,5-dichlorocatechol degradation
PWY-6085	2,4-dichlorophenoxyacetate  degradation
PWY-6086	4-chloro-2-methylphenoxyacetate degradation
PWY-6087	4-chlorocatechol degradation
PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)
PWY-6089	3-chlorocatechol degradation I (ortho)
PWY-6090	1,2-dichlorobenzene degradation
PWY-6091	1,2,4-trichlorobenzene degradation
PWY-6093	4,5-dichlorocatechol degradation
PWY-6094	3,4,6-trichlorocatechol degradation
PWY-6095	dammara-20,24-diene biosynthesis
PWY-6098	diploterol and cycloartenol biosynthesis
PWY-6099	1,2,4,5-tetrachlorobenzene degradation
PWY-6100	L-carnitine biosynthesis
PWY-6102	5-chloro-3-methyl-catechol degradation
PWY-6103	3-chlorotoluene degradation I
PWY-6104	3-chlorotoluene degradation II
PWY-6105	botryococcenes and methylated squalene biosynthesis
PWY-6107	chlorosalicylate degradation
PWY-6109	mangrove triterpenoid biosynthesis
PWY-6111	mitochondrial L-carnitine shuttle
PWY-6113	superpathway of mycolate biosynthesis
PWY-6115	avenacin biosynthesis, initial reactions
PWY-6116	mannosylfructose biosynthesis
PWY-6117	spermine and spermidine degradation I
PWY-6118	glycerol-3-phosphate shuttle
PWY-6120	L-tyrosine biosynthesis III
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6123	inosine-5'-phosphate biosynthesis I
PWY-6124	inosine-5'-phosphate biosynthesis II
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II
PWY-6128	cis-calamenene related sesquiterpenoids biosynthesis
PWY-6129	dolichol and dolichyl phosphate biosynthesis
PWY-6130	glycerol degradation III
PWY-6131	glycerol degradation II
PWY-6132	lanosterol biosynthesis
PWY-6133	(S)-reticuline biosynthesis II
PWY-6134	L-tyrosine biosynthesis IV
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)
PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis
PWY-6142	gluconeogenesis II (Methanobacterium thermoautotrophicum)
PWY-6143	CMP-pseudaminate biosynthesis
PWY-6144	CMP-N-glycoloylneuraminate biosynthesis
PWY-6145	superpathway of sialic acids and CMP-sialic acids biosynthesis
PWY-6146	Methanobacterium thermoautotrophicum biosynthetic metabolism
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6148	tetrahydromethanopterin biosynthesis
PWY-6151	S-adenosyl-L-methionine cycle I
PWY-6153	autoinducer AI-2 biosynthesis I
PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)
PWY-6157	autoinducer AI-1 biosynthesis
PWY-6158	creatine-phosphate biosynthesis
PWY-6160	3-dehydroquinate biosynthesis II (archaea)
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-6164	3-dehydroquinate biosynthesis I
PWY-6165	chorismate biosynthesis II (archaea)
PWY-6167	flavin biosynthesis II (archaea)
PWY-6168	flavin biosynthesis III (fungi)
PWY-6173	histamine biosynthesis
PWY-6174	mevalonate pathway II (archaea)
PWY-6176	superpathway of Allium flavor precursors
PWY-6178	2,4,6-trichlorophenol degradation
PWY-6181	histamine degradation
PWY-6182	superpathway of salicylate degradation
PWY-6183	salicylate degradation I
PWY-6184	methylsalicylate degradation
PWY-6185	4-methylcatechol degradation (ortho cleavage)
PWY-6190	2,4-dichlorotoluene degradation
PWY-6191	2,5-dichlorotoluene degradation
PWY-6192	3,4-dichlorotoluene degradation
PWY-6193	3-chlorocatechol degradation II (ortho)
PWY-6196	D-serine metabolism
PWY-6197	chlorinated phenols degradation
PWY-6199	quercetin sulfate biosynthesis
PWY-6200	2,4,5-trichlorophenoxyacetate degradation
PWY-6210	2-aminophenol degradation
PWY-6214	3-chlorocatechol degradation III (meta pathway)
PWY-6215	4-chlorobenzoate degradation
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)
PWY-6217	3,4-dichlorobenzoate degradation
PWY-6219	indole-3-acetyl-amide conjugate biosynthesis
PWY-621	sucrose degradation III (sucrose invertase)
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I
PWY-6221	2-chlorobenzoate degradation
PWY-6223	gentisate degradation I
PWY-6224	salicylate degradation II
PWY-6228	3-chlorobenzoate degradation III (via gentisate)
PWY-622	starch biosynthesis
PWY-6232	chrysoeriol biosynthesis
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis
PWY-6239	luteolin glycosides biosynthesis
PWY-6241	thyroid hormone biosynthesis
PWY-6243	bergamotene biosynthesis I
PWY-6244	bergamotene biosynthesis II
PWY-6254	santalene biosynthesis I
PWY-6257	curcumene biosynthesis
PWY-6258	patchoulol biosynthesis
PWY-6260	thyroid hormone metabolism I (via deiodination)
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)
PWY-6262	demethylmenaquinol-8 biosynthesis II
PWY-6263	superpathway of menaquinol-8 biosynthesis II
PWY-6265	zerumbone biosynthesis
PWY-6266	superpathway of flavones and derivatives biosynthesis
PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-6269	adenosylcobalamin salvage from cobinamide II
PWY-6270	isoprene biosynthesis I
PWY-6271	eudesmol biosynthesis
PWY-6273	phosphatidylethanolamine biosynthesis III
PWY-6275	&beta;-caryophyllene biosynthesis
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6278	botrydial biosynthesis
PWY-6279	myxol-2' fucoside biosynthesis
PWY-6280	synechoxanthin biosynthesis
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)
PWY-6285	superpathway of fatty acids biosynthesis (E. coli)
PWY-6286	spheroidene and spheroidenone biosynthesis
PWY-6287	neurosporene biosynthesis
PWY-6288	zeaxanthin-&beta;-D-diglucoside biosynthesis
PWY-6289	petrobactin biosynthesis
PWY-6290	&beta;-cubebene biosynthesis
PWY-6291	valencene and 7-epi-&alpha;-selinene biosynthesis
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)
PWY-6293	L-cysteine biosynthesis IV (fungi)
PWY-6294	selinene biosynthesis
PWY-6297	tuberonate glucoside biosynthesis
PWY-6302	dihydroconiferyl alcohol biosynthesis
PWY-6303	methyl indole-3-acetate interconversion
PWY-6304	casbene biosynthesis
PWY-6305	putrescine biosynthesis IV
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)
PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)
PWY-6310	aloesone biosynthesis II
PWY-6312	barbaloin biosynthesis
PWY-6313	serotonin degradation
PWY-6314	plumbagin biosynthesis
PWY-6316	aromatic polyketides biosynthesis
PWY-6317	galactose degradation I (Leloir pathway)
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-6320	phaselate biosynthesis
PWY-6321	homotaurine degradation
PWY-6322	phosphinothricin tripeptide biosynthesis
PWY-6323	benzoylanthranilate biosynthesis
PWY-6324	rebeccamycin biosynthesis
PWY-6325	echinatin biosynthesis
PWY-6326	camptothecin biosynthesis
PWY-6327	tetrathionate oxidation
PWY-6328	L-lysine degradation X
PWY-6330	acetaldehyde biosynthesis II
PWY-6332	coumestrol biosynthesis
PWY-6333	acetaldehyde biosynthesis I
PWY-6334	L-dopa degradation
PWY-6336	protocatechuate degradation III (para-cleavage pathway)
PWY-6337	dehydroscoulerine biosynthesis
PWY-6338	superpathway of vanillin and vanillate degradation
PWY-6339	syringate degradation
PWY-6340	5,5'-dehydrodivanillate degradation
PWY-6341	guaiacylglycerol-&beta;-guaiacyl ether degradation
PWY-6342	noradrenaline and adrenaline degradation
PWY-6343	ferulate degradation
PWY-6344	L-ornithine degradation II (Stickland reaction)
PWY-6345	K-252 biosynthesis
PWY-6346	staurosporine biosynthesis
PWY-6348	phosphate acquisition
PWY-6349	CDP-archaeol biosynthesis
PWY-6350	archaetidylinositol biosynthesis
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-6352	3-phosphoinositide biosynthesis
PWY-6353	purine nucleotides degradation II (aerobic)
PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-6363	D-myo-inositol (1,4,5)-trisphosphate degradation
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
PWY-6367	D-myo-inositol-5-phosphate metabolism
PWY-6368	3-phosphoinositide degradation
PWY-6369	inositol pyrophosphates biosynthesis
PWY-6370	ascorbate recycling (cytosolic)
PWY-6371	superpathway of inositol phosphate compounds
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)
PWY-6373	acrylate degradation
PWY-6374	vibriobactin biosynthesis
PWY-6375	desferrioxamine E biosynthesis
PWY-6376	desferrioxamine B biosynthesis
PWY-6377	&alpha;-tocopherol degradation
PWY-6378	putrebactin biosynthesis
PWY-6379	alcaligin biosynthesis
PWY-6381	bisucaberin biosynthesis
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
PWY-6388	(S,S)-butanediol degradation
PWY-6389	(S)-acetoin biosynthesis
PWY-6390	(S,S)-butanediol biosynthesis
PWY-6391	meso-butanediol biosynthesis I
PWY-6392	meso-butanediol biosynthesis II
PWY-6395	superpathway of seleno-compound metabolism
PWY-6396	superpathway of 2,3-butanediol biosynthesis
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6398	melatonin degradation I
PWY-6399	melatonin degradation II
PWY-63	UDP-L-arabinose biosynthesis I (from UDP-xylose)
PWY-6400	melatonin degradation III
PWY-6401	hispidol and hispidol 4'-O-&beta;-D-glucoside biosynthesis
PWY-6402	superpathway of melatonin degradation
PWY-6403	carrageenan biosynthesis
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6405	Rapoport-Luebering glycolytic shunt
PWY-6406	salicylate biosynthesis I
PWY-6407	yersiniabactin biosynthesis
PWY-6408	pyochelin biosynthesis
PWY-6409	pyoverdine I biosynthesis
PWY-6411	ginsenoside degradation I
PWY-6412	ginsenoside degradation II
PWY-6413	ginsenoside degradation III
PWY-6415	L-ascorbate biosynthesis V
PWY-6416	quinate degradation II
PWY-6418	4-hydroxycoumarin and dicoumarol biosynthesis
PWY-6419	shikimate degradation II
PWY-641	proanthocyanidin biosynthesis from flavanols
PWY-6420	pyrroloquinoline quinone biosynthesis
PWY-6421	arsenate detoxification III (mycothiol)
PWY-6422	D-arginine degradation
PWY-6423	hemoglobin degradation
PWY-6425	rotenoid biosynthesis II
PWY-6426	uracil degradation II (oxidative)
PWY-6427	rot-2'-enonate biosynthesis
PWY-6430	thymine degradation
PWY-6431	4-hydroxybenzoate biosynthesis IV
PWY-6432	curcuminoid biosynthesis
PWY-6433	hydroxylated fatty acid biosynthesis (plants)
PWY-6435	4-hydroxybenzoate biosynthesis V
PWY-6436	perillyl aldehyde biosynthesis
PWY-6437	fenchol biosynthesis I
PWY-6438	phenylphenalenone biosynthesis
PWY-6440	spermine and spermidine degradation II
PWY-6441	spermine and spermidine degradation III
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)
PWY-6444	benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)
PWY-6445	fenchol biosynthesis II
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)
PWY-6447	trichome monoterpenes biosynthesis
PWY-6448	hordatine biosynthesis
PWY-6449	fenchone biosynthesis
PWY-6451	3-carene biosynthesis
PWY-6453	stigma estolide biosynthesis
PWY-6454	vancomycin resistance I
PWY-6455	vancomycin resistance II
PWY-6456	serinol biosynthesis
PWY-6457	trans-cinnamoyl-CoA biosynthesis
PWY-6458	benzoyl-CoA biosynthesis
PWY-6459	peptidoglycan cross-bridge biosynthesis I (S. aureus)
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
PWY-6464	polyvinyl alcohol degradation
PWY-6466	pyridoxal 5'-phosphate biosynthesis II
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-6473	4-aminobutanoate degradation IV
PWY-6475	trans-lycopene biosynthesis II (plants)
PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-6477	gibberellin inactivation II (methylation)
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis
PWY-6481	L-dopachrome biosynthesis
PWY-6482	diphthamide biosynthesis (archaea)
PWY-6483	ceramide degradation
PWY-6486	D-galacturonate degradation II
PWY-6491	D-galacturonate degradation III
PWY-6493	chanoclavine I aldehyde biosynthesis
PWY-6494	gibberellin inactivation III (epoxidation)
PWY-6495	ergotamine biosynthesis
PWY-6497	D-galactarate degradation II
PWY-6498	eumelanin biosynthesis
PWY-6499	D-glucarate degradation II
PWY-6501	D-glucuronate degradation II
PWY-6502	oxidized GTP and dGTP detoxification
PWY-6503	superpathway of ergotamine biosynthesis
PWY-6504	anthranilate degradation IV (aerobic)
PWY-6505	L-tryptophan degradation XII (Geobacillus)
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation
PWY-6509	methanol oxidation to formaldehyde III
PWY-6510	methanol oxidation to formaldehyde II
PWY-6511	3-methylarginine biosynthesis
PWY-6512	hydrogen oxidation III (anaerobic, NADP)
PWY-6515	phloridzin biosynthesis
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation
PWY-6517	N-acetylglucosamine degradation II
PWY-6518	glycocholate metabolism (bacteria)
PWY-6519	8-amino-7-oxononanoate biosynthesis I
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-6523	nitrite-dependent anaerobic methane oxidation
PWY-6524	lychnose and isolychnose biosynthesis
PWY-6525	stellariose and mediose biosynthesis
PWY-6526	limonene degradation III (to perillate)
PWY-6527	stachyose degradation
PWY-6529	chlorate reduction
PWY-6530	perchlorate reduction
PWY-6531	mannitol cycle
PWY-6532	diphenylamine degradation
PWY-6533	aniline degradation
PWY-6534	phenylethylamine degradation II
PWY-6535	4-aminobutanoate degradation I
PWY-6536	4-aminobutanoate degradation III
PWY-6537	4-aminobutanoate degradation II
PWY-6538	caffeine degradation III (bacteria, via demethylation)
PWY-6539	(Z)-phenylmethanethial S-oxide biosynthesis
PWY-6540	costunolide biosynthesis
PWY-6543	4-aminobenzoate biosynthesis
PWY-6544	superpathway of C28 brassinosteroid biosynthesis
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III
PWY-6546	brassinosteroids inactivation
PWY-6549	L-glutamine biosynthesis III
PWY-6550	carbazole degradation
PWY-6552	caffeine degradation I (main, plants)
PWY-6553	caffeine degradation II
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6555	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)
PWY-6556	pyrimidine ribonucleosides salvage II
PWY-6557	glycoaminoglycan-protein linkage region biosynthesis
PWY-6558	heparan sulfate biosynthesis (late stages)
PWY-6559	spermidine biosynthesis II
PWY-6562	norspermidine biosynthesis
PWY-6564	heparan sulfate biosynthesis
PWY-6565	superpathway of polyamine biosynthesis III
PWY-6566	chondroitin biosynthesis
PWY-6567	chondroitin sulfate biosynthesis (late stages)
PWY-6568	dermatan sulfate biosynthesis (late stages)
PWY-6569	chondroitin sulfate biosynthesis
PWY-6571	dermatan sulfate biosynthesis
PWY-6572	chondroitin sulfate degradation I (bacterial)
PWY-6573	chondroitin sulfate degradation (metazoa)
PWY-6574	achromobactin biosynthesis
PWY-6575	juvenile hormone III biosynthesis I
PWY-6576	dermatan sulfate degradation (metazoa)
PWY-6577	farnesylcysteine salvage pathway
PWY-6578	8-amino-7-oxononanoate biosynthesis III
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis
PWY-6583	pyruvate fermentation to butanol I
PWY-6585	2-methylketone biosynthesis
PWY-6587	pyruvate fermentation to ethanol III
PWY-6588	pyruvate fermentation to acetone
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation
PWY-6591	manganese oxidation I
PWY-6592	manganese oxidation II
